test_range,test_total_profit_pct,trades
20201001-20201031,6.1,7
20201031-20201130,0.82,2
20201130-20201230,0.13,1
20201230-20210129,2.55,1
20210129-20210228,3.52,2
20210228-20210330,0.69,1
20210330-20210429,1.89,1
20210429-20210529,4.13,1
20210529-20210628,0.74,2
20210628-20210728,2.64,3
20210728-20210827,1.29,2
20210827-20210926,1.56,1
20210926-20211026,2.19,1
20211026-20211125,4.96,2
20211125-20211225,8.24,5
20211225-20220124,1.99,7
20220124-20220223,2.18,2
20220223-20220325,,
20220325-20220424,1.26,4
20220424-20220524,0.36,2
20220524-20220623,4.07,5
20220623-20220723,0.33,4
20220723-20220822,2.27,5
20220822-20220921,4.87,4
20220921-20221021,0.19,3
20221021-20221120,2.62,6
20221120-20221220,13.17,14
20221220-20230119,2.16,6
20230119-20230218,1.08,5
20230218-20230320,6.79,6
20230320-20230419,8.05,10
20230419-20230519,13.11,9
20230519-20230618,15.4,13
20230618-20230718,4.09,6
20230718-20230817,3.79,6
20230817-20230916,2.72,6
20230916-20231016,3.8,4
20231016-20231115,0.39,1
20231115-20231215,7.33,4
20231215-20240114,3.99,2
20240114-20240213,0.84,4
20240213-20240314,2.02,5
20240314-20240413,1.8,3
20240413-20240513,1.52,6
20240513-20240612,3.86,6
20240612-20240712,0.31,5
20240712-20240811,,
20240811-20240910,0.75,2
20240910-20241010,0.43,3
20241010-20241109,2.91,4
20241109-20241209,1.35,2
20241209-20250108,2.59,3
20250108-20250207,0.35,5
20250207-20250309,1.6,2
20250309-20250408,3.35,5
20250408-20250508,0.56,2
20250508-20250607,5.36,4
20250607-20250707,3.04,6
20250707-20250806,0.48,2
20250806-20250905,1.09,4
20250905-20251005,1.83,5
20251005-20251104,4.56,4
20251104-20251204,3.12,2
20251204-20260103,9.57,9
20260103-20260202,0.62,3
20260202-20260304,4.83,6
20260304-20260403,4.38,6
20260403-20260503,1.4,9
20260503-20260602,1.97,4
20260602-20260702,9.57,9
20260702-20260801,1.2,8
