test_range,test_total_profit_pct,trades
20201001-20201031,0.85,7
20201031-20201130,0.44,2
20201130-20201230,0.49,1
20201230-20210129,2.49,3
20210129-20210228,0.59,4
20210228-20210330,1.16,2
20210330-20210429,2.78,4
20210429-20210529,0.64,4
20210529-20210628,2.5,3
20210628-20210728,2.64,1
20210728-20210827,4.79,4
20210827-20210926,3.03,4
20210926-20211026,1.58,3
20211026-20211125,0.31,1
20211125-20211225,2.99,5
20211225-20220124,1.46,2
20220124-20220223,2.04,2
20220223-20220325,1.54,2
20220325-20220424,0.53,1
20220424-20220524,0.05,3
20220524-20220623,,
20220623-20220723,2.93,5
20220723-20220822,1.21,2
20220822-20220921,0.24,1
20220921-20221021,1.36,5
20221021-20221120,0.65,2
20221120-20221220,0.31,2
20221220-20230119,0.76,3
20230119-20230218,2.39,3
20230218-20230320,0.6,1
20230320-20230419,0.47,2
20230419-20230519,3.24,1
20230519-20230618,0.15,2
20230618-20230718,2.68,1
20230718-20230817,0.43,5
20230817-20230916,4.8,8
20230916-20231016,0.87,4
20231016-20231115,5.62,5
20231115-20231215,1.0,2
20231215-20240114,1.31,2
20240114-20240213,4.52,6
20240213-20240314,2.02,3
20240314-20240413,2.18,8
20240413-20240513,1.73,6
20240513-20240612,1.25,2
20240612-20240712,1.82,7
20240712-20240811,11.16,6
20240811-20240910,0.41,5
20240910-20241010,2.7,3
20241010-20241109,,
20241109-20241209,,
20241209-20250108,1.97,6
20250108-20250207,0.11,4
20250207-20250309,2.38,5
20250309-20250408,0.45,5
20250408-20250508,,
20250508-20250607,2.98,3
20250607-20250707,,
20250707-20250806,1.49,3
20250806-20250905,3.94,3
20250905-20251005,2.31,5
20251005-20251104,2.25,2
20251104-20251204,1.41,4
20251204-20260103,0.55,1
20260103-20260202,0.04,4
20260202-20260304,1.12,2
20260304-20260403,1.74,1
20260403-20260503,2.0,3
20260503-20260602,0.98,1
20260602-20260702,0.01,3
20260702-20260801,,
