train_range,test_range,test_total_profit_pct,best_params
20230101-20230401,20230401-20230501,,"{""params"": {""adx_period"": 11, ""adx_regime_threshold"": 22, ""atr_period"": 13, ""bb_period"": 15, ""bb_std"": 2.145, ""rsi_oversold"": 34, ""rsi_period"": 12, ""atr_stoploss_multiplier"": 1.884, ""rsi_exit"": 62}, ""minimal_roi"": {""0"": 0.426, ""392"": 0.175, ""1094"": 0.07, ""1532"": 0}, ""stoploss"": -0.32, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 3}"
20230131-20230501,20230501-20230531,0.23,"{""params"": {""adx_period"": 14, ""adx_regime_threshold"": 28, ""atr_period"": 14, ""bb_period"": 24, ""bb_std"": 2.67, ""rsi_oversold"": 30, ""rsi_period"": 15, ""atr_stoploss_multiplier"": 1.357, ""rsi_exit"": 70}, ""minimal_roi"": {""0"": 0.614, ""209"": 0.215, ""885"": 0.074, ""1591"": 0}, ""stoploss"": -0.228, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 3}"
20230302-20230531,20230531-20230630,1.02,"{""params"": {""adx_period"": 18, ""adx_regime_threshold"": 22, ""atr_period"": 18, ""bb_period"": 25, ""bb_std"": 2.381, ""rsi_oversold"": 34, ""rsi_period"": 11, ""atr_stoploss_multiplier"": 1.457, ""rsi_exit"": 60}, ""minimal_roi"": {""0"": 0.372, ""178"": 0.184, ""389"": 0.075, ""633"": 0}, ""stoploss"": -0.224, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 3}"
20230401-20230630,20230630-20230730,,"{""params"": {""adx_period"": 18, ""adx_regime_threshold"": 19, ""atr_period"": 12, ""bb_period"": 17, ""bb_std"": 2.127, ""rsi_oversold"": 30, ""rsi_period"": 18, ""atr_stoploss_multiplier"": 2.32, ""rsi_exit"": 69}, ""minimal_roi"": {""0"": 0.413, ""346"": 0.207, ""792"": 0.067, ""2120"": 0}, ""stoploss"": -0.291, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 3}"
20230501-20230730,20230730-20230829,0.76,"{""params"": {""adx_period"": 14, ""adx_regime_threshold"": 18, ""atr_period"": 10, ""bb_period"": 20, ""bb_std"": 2.326, ""rsi_oversold"": 37, ""rsi_period"": 14, ""atr_stoploss_multiplier"": 2.971, ""rsi_exit"": 64}, ""minimal_roi"": {""0"": 0.324, ""164"": 0.124, ""613"": 0.036, ""2016"": 0}, ""stoploss"": -0.036, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 3}"
20230531-20230829,20230829-20230928,,"{""params"": {""adx_period"": 17, ""adx_regime_threshold"": 25, ""atr_period"": 18, ""bb_period"": 21, ""bb_std"": 2.379, ""rsi_oversold"": 25, ""rsi_period"": 19, ""atr_stoploss_multiplier"": 2.526, ""rsi_exit"": 57}, ""minimal_roi"": {""0"": 0.194, ""425"": 0.129, ""1038"": 0.079, ""1230"": 0}, ""stoploss"": -0.124, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 3}"
20230630-20230928,20230928-20231028,,"{""params"": {""adx_period"": 11, ""adx_regime_threshold"": 26, ""atr_period"": 10, ""bb_period"": 16, ""bb_std"": 2.306, ""rsi_oversold"": 33, ""rsi_period"": 15, ""atr_stoploss_multiplier"": 1.546, ""rsi_exit"": 69}, ""minimal_roi"": {""0"": 0.319, ""227"": 0.11, ""790"": 0.046, ""1472"": 0}, ""stoploss"": -0.104, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 3}"
20230730-20231028,20231028-20231127,,"{""params"": {""adx_period"": 11, ""adx_regime_threshold"": 24, ""atr_period"": 11, ""bb_period"": 15, ""bb_std"": 2.414, ""rsi_oversold"": 39, ""rsi_period"": 17, ""atr_stoploss_multiplier"": 2.949, ""rsi_exit"": 56}, ""minimal_roi"": {""0"": 0.554, ""186"": 0.138, ""816"": 0.091, ""1227"": 0}, ""stoploss"": -0.14, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 3}"
20230829-20231127,20231127-20231227,,
20230928-20231227,20231227-20240126,,
20231028-20240126,20240126-20240225,,
20231127-20240225,20240225-20240326,,
20231227-20240326,20240326-20240425,,
20240126-20240425,20240425-20240525,,
20240225-20240525,20240525-20240624,,
20240326-20240624,20240624-20240724,,
20240425-20240724,20240724-20240823,,
20240525-20240823,20240823-20240922,,
20240624-20240922,20240922-20241022,,
20240724-20241022,20241022-20241121,,
20240823-20241121,20241121-20241221,,
