train_range,test_range,test_total_profit_pct,best_params
20230101-20230401,20230401-20230501,1.62,"{""params"": {""adx_period"": 14, ""adx_regime_threshold"": 23, ""atr_period"": 16, ""bb_period"": 16, ""bb_std"": 2.746, ""rsi_overbought"": 75, ""rsi_oversold"": 25, ""rsi_period"": 13, ""atr_stoploss_multiplier"": 2.172, ""rsi_exit"": 55, ""rsi_exit_short"": 32}, ""minimal_roi"": {""0"": 0.236, ""395"": 0.143, ""527"": 0.028, ""1300"": 0}, ""stoploss"": -0.091, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 3}"
20230131-20230501,20230501-20230531,,"{""params"": {""adx_period"": 10, ""adx_regime_threshold"": 18, ""atr_period"": 14, ""bb_period"": 15, ""bb_std"": 1.27, ""rsi_overbought"": 72, ""rsi_oversold"": 28, ""rsi_period"": 20, ""atr_stoploss_multiplier"": 1.652, ""rsi_exit"": 57, ""rsi_exit_short"": 33}, ""minimal_roi"": {""0"": 0.601, ""215"": 0.166, ""692"": 0.077, ""1491"": 0}, ""stoploss"": -0.199, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 3}"
20230302-20230531,20230531-20230630,12.97,"{""params"": {""adx_period"": 16, ""adx_regime_threshold"": 32, ""atr_period"": 20, ""bb_period"": 22, ""bb_std"": 2.972, ""rsi_overbought"": 75, ""rsi_oversold"": 31, ""rsi_period"": 12, ""atr_stoploss_multiplier"": 2.473, ""rsi_exit"": 64, ""rsi_exit_short"": 35}, ""minimal_roi"": {""0"": 0.348, ""474"": 0.088, ""1163"": 0.041, ""2087"": 0}, ""stoploss"": -0.279, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 3}"
20230401-20230630,20230630-20230730,4.26,"{""params"": {""adx_period"": 14, ""adx_regime_threshold"": 18, ""atr_period"": 12, ""bb_period"": 19, ""bb_std"": 2.208, ""rsi_overbought"": 74, ""rsi_oversold"": 25, ""rsi_period"": 10, ""atr_stoploss_multiplier"": 2.077, ""rsi_exit"": 63, ""rsi_exit_short"": 35}, ""minimal_roi"": {""0"": 0.546, ""366"": 0.149, ""541"": 0.036, ""1257"": 0}, ""stoploss"": -0.027, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 3}"
20230501-20230730,20230730-20230829,0.47,"{""params"": {""adx_period"": 18, ""adx_regime_threshold"": 18, ""atr_period"": 13, ""bb_period"": 23, ""bb_std"": 2.826, ""rsi_overbought"": 69, ""rsi_oversold"": 29, ""rsi_period"": 15, ""atr_stoploss_multiplier"": 2.858, ""rsi_exit"": 64, ""rsi_exit_short"": 32}, ""minimal_roi"": {""0"": 0.433, ""162"": 0.145, ""846"": 0.052, ""2236"": 0}, ""stoploss"": -0.022, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 3}"
20230531-20230829,20230829-20230928,1.92,"{""params"": {""adx_period"": 10, ""adx_regime_threshold"": 22, ""atr_period"": 15, ""bb_period"": 16, ""bb_std"": 2.065, ""rsi_overbought"": 60, ""rsi_oversold"": 27, ""rsi_period"": 18, ""atr_stoploss_multiplier"": 1.447, ""rsi_exit"": 63, ""rsi_exit_short"": 37}, ""minimal_roi"": {""0"": 0.314, ""203"": 0.189, ""879"": 0.063, ""2215"": 0}, ""stoploss"": -0.118, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 3}"
20230630-20230928,20230928-20231028,12.03,"{""params"": {""adx_period"": 20, ""adx_regime_threshold"": 34, ""atr_period"": 16, ""bb_period"": 16, ""bb_std"": 1.815, ""rsi_overbought"": 62, ""rsi_oversold"": 36, ""rsi_period"": 17, ""atr_stoploss_multiplier"": 1.344, ""rsi_exit"": 56, ""rsi_exit_short"": 36}, ""minimal_roi"": {""0"": 0.2, ""444"": 0.124, ""776"": 0.072, ""1615"": 0}, ""stoploss"": -0.257, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 3}"
20230730-20231028,20231028-20231127,9.4,"{""params"": {""adx_period"": 11, ""adx_regime_threshold"": 18, ""atr_period"": 20, ""bb_period"": 22, ""bb_std"": 1.261, ""rsi_overbought"": 74, ""rsi_oversold"": 42, ""rsi_period"": 10, ""atr_stoploss_multiplier"": 2.562, ""rsi_exit"": 70, ""rsi_exit_short"": 35}, ""minimal_roi"": {""0"": 0.546, ""137"": 0.129, ""573"": 0.059, ""1423"": 0}, ""stoploss"": -0.319, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 3}"
20230829-20231127,20231127-20231227,1.05,"{""params"": {""adx_period"": 13, ""adx_regime_threshold"": 26, ""atr_period"": 19, ""bb_period"": 16, ""bb_std"": 2.849, ""rsi_overbought"": 75, ""rsi_oversold"": 37, ""rsi_period"": 20, ""atr_stoploss_multiplier"": 2.647, ""rsi_exit"": 67, ""rsi_exit_short"": 42}, ""minimal_roi"": {""0"": 0.123, ""356"": 0.055, ""917"": 0.025, ""1352"": 0}, ""stoploss"": -0.147, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 3}"
20230928-20231227,20231227-20240126,7.28,"{""params"": {""adx_period"": 13, ""adx_regime_threshold"": 34, ""atr_period"": 10, ""bb_period"": 24, ""bb_std"": 2.928, ""rsi_overbought"": 75, ""rsi_oversold"": 41, ""rsi_period"": 11, ""atr_stoploss_multiplier"": 2.244, ""rsi_exit"": 68, ""rsi_exit_short"": 35}, ""minimal_roi"": {""0"": 0.481, ""328"": 0.144, ""523"": 0.031, ""1512"": 0}, ""stoploss"": -0.202, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 3}"
20231028-20240126,20240126-20240225,1.25,"{""params"": {""adx_period"": 16, ""adx_regime_threshold"": 18, ""atr_period"": 18, ""bb_period"": 15, ""bb_std"": 1.277, ""rsi_overbought"": 71, ""rsi_oversold"": 25, ""rsi_period"": 12, ""atr_stoploss_multiplier"": 1.844, ""rsi_exit"": 66, ""rsi_exit_short"": 40}, ""minimal_roi"": {""0"": 0.646, ""207"": 0.2, ""899"": 0.07, ""2080"": 0}, ""stoploss"": -0.183, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 3}"
20231127-20240225,20240225-20240326,12.17,"{""params"": {""adx_period"": 13, ""adx_regime_threshold"": 34, ""atr_period"": 13, ""bb_period"": 24, ""bb_std"": 1.359, ""rsi_overbought"": 75, ""rsi_oversold"": 37, ""rsi_period"": 13, ""atr_stoploss_multiplier"": 2.549, ""rsi_exit"": 63, ""rsi_exit_short"": 30}, ""minimal_roi"": {""0"": 0.379, ""383"": 0.141, ""671"": 0.076, ""1222"": 0}, ""stoploss"": -0.344, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 3}"
20231227-20240326,20240326-20240425,5.96,"{""params"": {""adx_period"": 18, ""adx_regime_threshold"": 18, ""atr_period"": 16, ""bb_period"": 21, ""bb_std"": 1.878, ""rsi_overbought"": 72, ""rsi_oversold"": 27, ""rsi_period"": 10, ""atr_stoploss_multiplier"": 2.181, ""rsi_exit"": 62, ""rsi_exit_short"": 45}, ""minimal_roi"": {""0"": 0.446, ""281"": 0.151, ""457"": 0.038, ""1204"": 0}, ""stoploss"": -0.337, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 3}"
20240126-20240425,20240425-20240525,5.41,"{""params"": {""adx_period"": 12, ""adx_regime_threshold"": 35, ""atr_period"": 20, ""bb_period"": 17, ""bb_std"": 2.43, ""rsi_overbought"": 74, ""rsi_oversold"": 40, ""rsi_period"": 15, ""atr_stoploss_multiplier"": 2.12, ""rsi_exit"": 64, ""rsi_exit_short"": 39}, ""minimal_roi"": {""0"": 0.185, ""141"": 0.132, ""813"": 0.03, ""986"": 0}, ""stoploss"": -0.252, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 3}"
20240225-20240525,20240525-20240624,1.57,"{""params"": {""adx_period"": 20, ""adx_regime_threshold"": 19, ""atr_period"": 14, ""bb_period"": 18, ""bb_std"": 1.22, ""rsi_overbought"": 71, ""rsi_oversold"": 31, ""rsi_period"": 17, ""atr_stoploss_multiplier"": 2.681, ""rsi_exit"": 57, ""rsi_exit_short"": 34}, ""minimal_roi"": {""0"": 0.178, ""131"": 0.151, ""438"": 0.023, ""1816"": 0}, ""stoploss"": -0.209, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 3}"
20240326-20240624,20240624-20240724,6.04,"{""params"": {""adx_period"": 12, ""adx_regime_threshold"": 22, ""atr_period"": 19, ""bb_period"": 22, ""bb_std"": 1.618, ""rsi_overbought"": 73, ""rsi_oversold"": 29, ""rsi_period"": 11, ""atr_stoploss_multiplier"": 1.372, ""rsi_exit"": 68, ""rsi_exit_short"": 33}, ""minimal_roi"": {""0"": 0.304, ""237"": 0.168, ""770"": 0.048, ""929"": 0}, ""stoploss"": -0.072, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 3}"
20240425-20240724,20240724-20240823,1.12,"{""params"": {""adx_period"": 16, ""adx_regime_threshold"": 19, ""atr_period"": 13, ""bb_period"": 16, ""bb_std"": 2.43, ""rsi_overbought"": 75, ""rsi_oversold"": 33, ""rsi_period"": 12, ""atr_stoploss_multiplier"": 1.263, ""rsi_exit"": 59, ""rsi_exit_short"": 44}, ""minimal_roi"": {""0"": 0.533, ""231"": 0.132, ""808"": 0.033, ""1799"": 0}, ""stoploss"": -0.275, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 3}"
20240525-20240823,20240823-20240922,2.52,"{""params"": {""adx_period"": 11, ""adx_regime_threshold"": 33, ""atr_period"": 17, ""bb_period"": 19, ""bb_std"": 1.857, ""rsi_overbought"": 75, ""rsi_oversold"": 33, ""rsi_period"": 14, ""atr_stoploss_multiplier"": 2.676, ""rsi_exit"": 59, ""rsi_exit_short"": 31}, ""minimal_roi"": {""0"": 0.457, ""262"": 0.226, ""704"": 0.078, ""1650"": 0}, ""stoploss"": -0.319, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 3}"
20240624-20240922,20240922-20241022,0.77,"{""params"": {""adx_period"": 20, ""adx_regime_threshold"": 27, ""atr_period"": 17, ""bb_period"": 20, ""bb_std"": 2.227, ""rsi_overbought"": 58, ""rsi_oversold"": 25, ""rsi_period"": 11, ""atr_stoploss_multiplier"": 1.825, ""rsi_exit"": 62, ""rsi_exit_short"": 30}, ""minimal_roi"": {""0"": 0.541, ""213"": 0.124, ""725"": 0.049, ""1585"": 0}, ""stoploss"": -0.259, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 3}"
20240724-20241022,20241022-20241121,4.42,"{""params"": {""adx_period"": 15, ""adx_regime_threshold"": 21, ""atr_period"": 13, ""bb_period"": 17, ""bb_std"": 1.429, ""rsi_overbought"": 65, ""rsi_oversold"": 38, ""rsi_period"": 20, ""atr_stoploss_multiplier"": 2.741, ""rsi_exit"": 68, ""rsi_exit_short"": 36}, ""minimal_roi"": {""0"": 0.202, ""269"": 0.063, ""423"": 0.03, ""1402"": 0}, ""stoploss"": -0.321, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 3}"
20240823-20241121,20241121-20241221,14.78,"{""params"": {""adx_period"": 18, ""adx_regime_threshold"": 19, ""atr_period"": 12, ""bb_period"": 22, ""bb_std"": 2.232, ""rsi_overbought"": 59, ""rsi_oversold"": 43, ""rsi_period"": 17, ""atr_stoploss_multiplier"": 2.509, ""rsi_exit"": 69, ""rsi_exit_short"": 44}, ""minimal_roi"": {""0"": 0.42, ""144"": 0.129, ""832"": 0.061, ""1486"": 0}, ""stoploss"": -0.2, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 3}"
