train_range,test_range,test_total_profit_pct,best_params
20230101-20230401,20230401-20230501,1.58,"{""params"": {""adx_period"": 11, ""adx_regime_threshold"": 19, ""atr_period"": 19, ""bb_period"": 16, ""bb_std"": 1.873, ""rsi_overbought"": 75, ""rsi_oversold"": 25, ""rsi_period"": 10, ""atr_stoploss_multiplier"": 2.303, ""rsi_exit"": 60, ""rsi_exit_short"": 35}, ""minimal_roi"": {""0"": 0.635, ""467"": 0.184, ""1063"": 0.024, ""1634"": 0}, ""stoploss"": -0.17, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 3}"
20230131-20230501,20230501-20230531,1.44,"{""params"": {""adx_period"": 19, ""adx_regime_threshold"": 19, ""atr_period"": 19, ""bb_period"": 24, ""bb_std"": 2.618, ""rsi_overbought"": 65, ""rsi_oversold"": 25, ""rsi_period"": 18, ""atr_stoploss_multiplier"": 1.988, ""rsi_exit"": 70, ""rsi_exit_short"": 41}, ""minimal_roi"": {""0"": 0.462, ""249"": 0.101, ""455"": 0.075, ""586"": 0}, ""stoploss"": -0.203, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 3}"
20230302-20230531,20230531-20230630,5.49,"{""params"": {""adx_period"": 12, ""adx_regime_threshold"": 22, ""atr_period"": 15, ""bb_period"": 25, ""bb_std"": 2.493, ""rsi_overbought"": 74, ""rsi_oversold"": 29, ""rsi_period"": 14, ""atr_stoploss_multiplier"": 1.254, ""rsi_exit"": 55, ""rsi_exit_short"": 36}, ""minimal_roi"": {""0"": 0.64, ""223"": 0.186, ""741"": 0.061, ""1606"": 0}, ""stoploss"": -0.101, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 3}"
20230401-20230630,20230630-20230730,5.84,"{""params"": {""adx_period"": 10, ""adx_regime_threshold"": 24, ""atr_period"": 11, ""bb_period"": 24, ""bb_std"": 1.215, ""rsi_overbought"": 60, ""rsi_oversold"": 25, ""rsi_period"": 18, ""atr_stoploss_multiplier"": 2.219, ""rsi_exit"": 59, ""rsi_exit_short"": 34}, ""minimal_roi"": {""0"": 0.213, ""260"": 0.153, ""578"": 0.048, ""744"": 0}, ""stoploss"": -0.081, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 3}"
20230501-20230730,20230730-20230829,1.22,"{""params"": {""adx_period"": 20, ""adx_regime_threshold"": 21, ""atr_period"": 14, ""bb_period"": 23, ""bb_std"": 1.703, ""rsi_overbought"": 62, ""rsi_oversold"": 31, ""rsi_period"": 13, ""atr_stoploss_multiplier"": 2.94, ""rsi_exit"": 57, ""rsi_exit_short"": 32}, ""minimal_roi"": {""0"": 0.671, ""231"": 0.226, ""574"": 0.088, ""1938"": 0}, ""stoploss"": -0.256, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 3}"
20230531-20230829,20230829-20230928,4.62,"{""params"": {""adx_period"": 11, ""adx_regime_threshold"": 21, ""atr_period"": 12, ""bb_period"": 23, ""bb_std"": 2.442, ""rsi_overbought"": 59, ""rsi_oversold"": 25, ""rsi_period"": 16, ""atr_stoploss_multiplier"": 2.835, ""rsi_exit"": 59, ""rsi_exit_short"": 33}, ""minimal_roi"": {""0"": 0.55, ""320"": 0.192, ""540"": 0.044, ""1762"": 0}, ""stoploss"": -0.338, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 3}"
20230630-20230928,20230928-20231028,20.91,"{""params"": {""adx_period"": 12, ""adx_regime_threshold"": 35, ""atr_period"": 14, ""bb_period"": 17, ""bb_std"": 1.788, ""rsi_overbought"": 56, ""rsi_oversold"": 28, ""rsi_period"": 16, ""atr_stoploss_multiplier"": 1.898, ""rsi_exit"": 65, ""rsi_exit_short"": 36}, ""minimal_roi"": {""0"": 0.463, ""313"": 0.114, ""707"": 0.078, ""1755"": 0}, ""stoploss"": -0.2, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 3}"
20230730-20231028,20231028-20231127,5.59,"{""params"": {""adx_period"": 18, ""adx_regime_threshold"": 34, ""atr_period"": 18, ""bb_period"": 18, ""bb_std"": 1.271, ""rsi_overbought"": 71, ""rsi_oversold"": 34, ""rsi_period"": 14, ""atr_stoploss_multiplier"": 1.992, ""rsi_exit"": 68, ""rsi_exit_short"": 33}, ""minimal_roi"": {""0"": 0.46, ""362"": 0.139, ""622"": 0.088, ""1294"": 0}, ""stoploss"": -0.216, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 3}"
20230829-20231127,20231127-20231227,3.92,"{""params"": {""adx_period"": 17, ""adx_regime_threshold"": 33, ""atr_period"": 20, ""bb_period"": 22, ""bb_std"": 2.91, ""rsi_overbought"": 67, ""rsi_oversold"": 43, ""rsi_period"": 15, ""atr_stoploss_multiplier"": 2.961, ""rsi_exit"": 61, ""rsi_exit_short"": 34}, ""minimal_roi"": {""0"": 0.18, ""334"": 0.078, ""991"": 0.032, ""2093"": 0}, ""stoploss"": -0.294, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 3}"
20230928-20231227,20231227-20240126,2.8,"{""params"": {""adx_period"": 19, ""adx_regime_threshold"": 32, ""atr_period"": 17, ""bb_period"": 21, ""bb_std"": 1.589, ""rsi_overbought"": 75, ""rsi_oversold"": 33, ""rsi_period"": 20, ""atr_stoploss_multiplier"": 2.374, ""rsi_exit"": 55, ""rsi_exit_short"": 45}, ""minimal_roi"": {""0"": 0.575, ""340"": 0.157, ""1015"": 0.073, ""2097"": 0}, ""stoploss"": -0.268, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 3}"
