train_range,test_range,test_total_profit_pct,best_params
20210826-20211124,20211124-20211224,,"{""params"": {""adx_period"": 10, ""adx_regime_threshold"": 29, ""atr_period"": 11, ""bb_period"": 24, ""bb_std"": 1.839, ""rsi_overbought"": 73, ""rsi_oversold"": 35, ""rsi_period"": 18, ""xrp_adx_period"": 10, ""xrp_adx_regime_threshold"": 18, ""xrp_atr_period"": 15, ""xrp_bb_period"": 21, ""xrp_bb_std"": 2.915, ""xrp_rsi_overbought"": 58, ""xrp_rsi_oversold"": 32, ""xrp_rsi_period"": 12, ""atr_stoploss_multiplier"": 1.608, ""rsi_exit"": 60, ""rsi_exit_short"": 37, ""xrp_atr_stoploss_multiplier"": 2.211, ""xrp_rsi_exit"": 60, ""xrp_rsi_exit_short"": 39}, ""minimal_roi"": {""0"": 0.472, ""458"": 0.153, ""949"": 0.072, ""1920"": 0}, ""stoploss"": -0.28, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 4}"
20210925-20211224,20211224-20220123,3.21,"{""params"": {""adx_period"": 10, ""adx_regime_threshold"": 24, ""atr_period"": 20, ""bb_period"": 23, ""bb_std"": 1.351, ""rsi_overbought"": 68, ""rsi_oversold"": 39, ""rsi_period"": 11, ""xrp_adx_period"": 11, ""xrp_adx_regime_threshold"": 28, ""xrp_atr_period"": 11, ""xrp_bb_period"": 25, ""xrp_bb_std"": 1.696, ""xrp_rsi_overbought"": 65, ""xrp_rsi_oversold"": 42, ""xrp_rsi_period"": 18, ""atr_stoploss_multiplier"": 2.518, ""rsi_exit"": 67, ""rsi_exit_short"": 45, ""xrp_atr_stoploss_multiplier"": 2.324, ""xrp_rsi_exit"": 62, ""xrp_rsi_exit_short"": 41}, ""minimal_roi"": {""0"": 0.499, ""255"": 0.092, ""673"": 0.066, ""2000"": 0}, ""stoploss"": -0.275, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 4}"
20211025-20220123,20220123-20220222,3.84,"{""params"": {""adx_period"": 20, ""adx_regime_threshold"": 19, ""atr_period"": 19, ""bb_period"": 25, ""bb_std"": 1.952, ""rsi_overbought"": 61, ""rsi_oversold"": 35, ""rsi_period"": 16, ""xrp_adx_period"": 12, ""xrp_adx_regime_threshold"": 23, ""xrp_atr_period"": 10, ""xrp_bb_period"": 21, ""xrp_bb_std"": 1.664, ""xrp_rsi_overbought"": 60, ""xrp_rsi_oversold"": 34, ""xrp_rsi_period"": 14, ""atr_stoploss_multiplier"": 2.13, ""rsi_exit"": 55, ""rsi_exit_short"": 33, ""xrp_atr_stoploss_multiplier"": 2.897, ""xrp_rsi_exit"": 58, ""xrp_rsi_exit_short"": 34}, ""minimal_roi"": {""0"": 0.429, ""341"": 0.138, ""475"": 0.066, ""1136"": 0}, ""stoploss"": -0.25, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 4}"
20211124-20220222,20220222-20220324,2.86,"{""params"": {""adx_period"": 15, ""adx_regime_threshold"": 22, ""atr_period"": 14, ""bb_period"": 21, ""bb_std"": 1.573, ""rsi_overbought"": 57, ""rsi_oversold"": 41, ""rsi_period"": 17, ""xrp_adx_period"": 14, ""xrp_adx_regime_threshold"": 21, ""xrp_atr_period"": 16, ""xrp_bb_period"": 15, ""xrp_bb_std"": 1.679, ""xrp_rsi_overbought"": 59, ""xrp_rsi_oversold"": 30, ""xrp_rsi_period"": 10, ""atr_stoploss_multiplier"": 2.132, ""rsi_exit"": 70, ""rsi_exit_short"": 43, ""xrp_atr_stoploss_multiplier"": 2.975, ""xrp_rsi_exit"": 65, ""xrp_rsi_exit_short"": 44}, ""minimal_roi"": {""0"": 0.335, ""173"": 0.203, ""828"": 0.067, ""1673"": 0}, ""stoploss"": -0.235, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 4}"
20211224-20220324,20220324-20220423,0.57,"{""params"": {""adx_period"": 11, ""adx_regime_threshold"": 29, ""atr_period"": 14, ""bb_period"": 22, ""bb_std"": 2.754, ""rsi_overbought"": 58, ""rsi_oversold"": 36, ""rsi_period"": 17, ""xrp_adx_period"": 12, ""xrp_adx_regime_threshold"": 29, ""xrp_atr_period"": 18, ""xrp_bb_period"": 25, ""xrp_bb_std"": 2.66, ""xrp_rsi_overbought"": 60, ""xrp_rsi_oversold"": 31, ""xrp_rsi_period"": 15, ""atr_stoploss_multiplier"": 1.67, ""rsi_exit"": 56, ""rsi_exit_short"": 42, ""xrp_atr_stoploss_multiplier"": 2.034, ""xrp_rsi_exit"": 61, ""xrp_rsi_exit_short"": 41}, ""minimal_roi"": {""0"": 0.296, ""224"": 0.139, ""738"": 0.079, ""1319"": 0}, ""stoploss"": -0.082, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 4}"
20220123-20220423,20220423-20220523,0.77,"{""params"": {""adx_period"": 18, ""adx_regime_threshold"": 31, ""atr_period"": 11, ""bb_period"": 15, ""bb_std"": 1.29, ""rsi_overbought"": 62, ""rsi_oversold"": 38, ""rsi_period"": 13, ""xrp_adx_period"": 16, ""xrp_adx_regime_threshold"": 33, ""xrp_atr_period"": 20, ""xrp_bb_period"": 25, ""xrp_bb_std"": 2.958, ""xrp_rsi_overbought"": 65, ""xrp_rsi_oversold"": 39, ""xrp_rsi_period"": 17, ""atr_stoploss_multiplier"": 1.676, ""rsi_exit"": 60, ""rsi_exit_short"": 34, ""xrp_atr_stoploss_multiplier"": 1.333, ""xrp_rsi_exit"": 56, ""xrp_rsi_exit_short"": 30}, ""minimal_roi"": {""0"": 0.21, ""273"": 0.103, ""484"": 0.066, ""1537"": 0}, ""stoploss"": -0.119, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 4}"
20220222-20220523,20220523-20220622,2.21,"{""params"": {""adx_period"": 16, ""adx_regime_threshold"": 33, ""atr_period"": 16, ""bb_period"": 23, ""bb_std"": 1.714, ""rsi_overbought"": 72, ""rsi_oversold"": 31, ""rsi_period"": 17, ""xrp_adx_period"": 13, ""xrp_adx_regime_threshold"": 25, ""xrp_atr_period"": 20, ""xrp_bb_period"": 20, ""xrp_bb_std"": 1.674, ""xrp_rsi_overbought"": 73, ""xrp_rsi_oversold"": 34, ""xrp_rsi_period"": 10, ""atr_stoploss_multiplier"": 2.803, ""rsi_exit"": 70, ""rsi_exit_short"": 31, ""xrp_atr_stoploss_multiplier"": 2.228, ""xrp_rsi_exit"": 66, ""xrp_rsi_exit_short"": 44}, ""minimal_roi"": {""0"": 0.534, ""407"": 0.134, ""577"": 0.08, ""1901"": 0}, ""stoploss"": -0.143, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 4}"
20220324-20220622,20220622-20220722,,"{""params"": {""adx_period"": 10, ""adx_regime_threshold"": 18, ""atr_period"": 10, ""bb_period"": 25, ""bb_std"": 2.05, ""rsi_overbought"": 67, ""rsi_oversold"": 32, ""rsi_period"": 13, ""xrp_adx_period"": 15, ""xrp_adx_regime_threshold"": 29, ""xrp_atr_period"": 13, ""xrp_bb_period"": 18, ""xrp_bb_std"": 1.375, ""xrp_rsi_overbought"": 67, ""xrp_rsi_oversold"": 28, ""xrp_rsi_period"": 18, ""atr_stoploss_multiplier"": 1.597, ""rsi_exit"": 69, ""rsi_exit_short"": 31, ""xrp_atr_stoploss_multiplier"": 1.837, ""xrp_rsi_exit"": 58, ""xrp_rsi_exit_short"": 33}, ""minimal_roi"": {""0"": 0.506, ""370"": 0.16, ""507"": 0.039, ""1933"": 0}, ""stoploss"": -0.339, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 4}"
20220423-20220722,20220722-20220821,0.96,"{""params"": {""adx_period"": 12, ""adx_regime_threshold"": 18, ""atr_period"": 15, ""bb_period"": 22, ""bb_std"": 1.887, ""rsi_overbought"": 55, ""rsi_oversold"": 29, ""rsi_period"": 16, ""xrp_adx_period"": 10, ""xrp_adx_regime_threshold"": 23, ""xrp_atr_period"": 19, ""xrp_bb_period"": 18, ""xrp_bb_std"": 2.943, ""xrp_rsi_overbought"": 71, ""xrp_rsi_oversold"": 29, ""xrp_rsi_period"": 15, ""atr_stoploss_multiplier"": 1.265, ""rsi_exit"": 62, ""rsi_exit_short"": 43, ""xrp_atr_stoploss_multiplier"": 2.371, ""xrp_rsi_exit"": 63, ""xrp_rsi_exit_short"": 41}, ""minimal_roi"": {""0"": 0.358, ""434"": 0.126, ""870"": 0.055, ""1521"": 0}, ""stoploss"": -0.279, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 4}"
20220523-20220821,20220821-20220920,5.78,"{""params"": {""adx_period"": 19, ""adx_regime_threshold"": 21, ""atr_period"": 12, ""bb_period"": 17, ""bb_std"": 2.185, ""rsi_overbought"": 55, ""rsi_oversold"": 26, ""rsi_period"": 10, ""xrp_adx_period"": 19, ""xrp_adx_regime_threshold"": 28, ""xrp_atr_period"": 12, ""xrp_bb_period"": 22, ""xrp_bb_std"": 2.304, ""xrp_rsi_overbought"": 58, ""xrp_rsi_oversold"": 28, ""xrp_rsi_period"": 13, ""atr_stoploss_multiplier"": 1.784, ""rsi_exit"": 68, ""rsi_exit_short"": 38, ""xrp_atr_stoploss_multiplier"": 2.618, ""xrp_rsi_exit"": 67, ""xrp_rsi_exit_short"": 36}, ""minimal_roi"": {""0"": 0.568, ""252"": 0.154, ""498"": 0.054, ""1421"": 0}, ""stoploss"": -0.284, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 4}"
