train_range,test_range,test_total_profit_pct,best_params
20210826-20211124,20211124-20211224,0.4,"{""params"": {""adx_period"": 11, ""adx_regime_threshold"": 26, ""atr_period"": 19, ""bb_period"": 19, ""bb_std"": 1.873, ""rsi_overbought"": 69, ""rsi_oversold"": 33, ""rsi_period"": 12, ""xrp_adx_period"": 20, ""xrp_adx_regime_threshold"": 32, ""xrp_atr_period"": 10, ""xrp_bb_period"": 24, ""xrp_bb_std"": 2.821, ""xrp_rsi_overbought"": 67, ""xrp_rsi_oversold"": 31, ""xrp_rsi_period"": 18, ""atr_stoploss_multiplier"": 2.79, ""rsi_exit"": 57, ""rsi_exit_short"": 41, ""xrp_atr_stoploss_multiplier"": 1.318, ""xrp_rsi_exit"": 69, ""xrp_rsi_exit_short"": 37}, ""minimal_roi"": {""0"": 0.485, ""330"": 0.129, ""792"": 0.065, ""2144"": 0}, ""stoploss"": -0.234, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 4}"
20210925-20211224,20211224-20220123,5.55,"{""params"": {""adx_period"": 20, ""adx_regime_threshold"": 30, ""atr_period"": 19, ""bb_period"": 21, ""bb_std"": 1.23, ""rsi_overbought"": 75, ""rsi_oversold"": 31, ""rsi_period"": 19, ""xrp_adx_period"": 17, ""xrp_adx_regime_threshold"": 33, ""xrp_atr_period"": 18, ""xrp_bb_period"": 19, ""xrp_bb_std"": 2.562, ""xrp_rsi_overbought"": 59, ""xrp_rsi_oversold"": 33, ""xrp_rsi_period"": 11, ""atr_stoploss_multiplier"": 2.668, ""rsi_exit"": 66, ""rsi_exit_short"": 31, ""xrp_atr_stoploss_multiplier"": 1.668, ""xrp_rsi_exit"": 69, ""xrp_rsi_exit_short"": 39}, ""minimal_roi"": {""0"": 0.28, ""201"": 0.154, ""538"": 0.039, ""1661"": 0}, ""stoploss"": -0.343, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 4}"
20211025-20220123,20220123-20220222,0.73,"{""params"": {""adx_period"": 10, ""adx_regime_threshold"": 34, ""atr_period"": 15, ""bb_period"": 18, ""bb_std"": 1.716, ""rsi_overbought"": 55, ""rsi_oversold"": 33, ""rsi_period"": 16, ""xrp_adx_period"": 12, ""xrp_adx_regime_threshold"": 32, ""xrp_atr_period"": 18, ""xrp_bb_period"": 16, ""xrp_bb_std"": 2.984, ""xrp_rsi_overbought"": 59, ""xrp_rsi_oversold"": 27, ""xrp_rsi_period"": 10, ""atr_stoploss_multiplier"": 2.705, ""rsi_exit"": 69, ""rsi_exit_short"": 35, ""xrp_atr_stoploss_multiplier"": 1.711, ""xrp_rsi_exit"": 58, ""xrp_rsi_exit_short"": 31}, ""minimal_roi"": {""0"": 0.519, ""292"": 0.147, ""857"": 0.071, ""1426"": 0}, ""stoploss"": -0.275, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 4}"
20211124-20220222,20220222-20220324,4.79,"{""params"": {""adx_period"": 17, ""adx_regime_threshold"": 26, ""atr_period"": 12, ""bb_period"": 25, ""bb_std"": 2.287, ""rsi_overbought"": 72, ""rsi_oversold"": 36, ""rsi_period"": 13, ""xrp_adx_period"": 20, ""xrp_adx_regime_threshold"": 30, ""xrp_atr_period"": 14, ""xrp_bb_period"": 20, ""xrp_bb_std"": 1.308, ""xrp_rsi_overbought"": 56, ""xrp_rsi_oversold"": 27, ""xrp_rsi_period"": 12, ""atr_stoploss_multiplier"": 2.124, ""rsi_exit"": 63, ""rsi_exit_short"": 34, ""xrp_atr_stoploss_multiplier"": 2.321, ""xrp_rsi_exit"": 57, ""xrp_rsi_exit_short"": 43}, ""minimal_roi"": {""0"": 0.436, ""131"": 0.171, ""441"": 0.036, ""1732"": 0}, ""stoploss"": -0.16, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 4}"
20211224-20220324,20220324-20220423,6.64,"{""params"": {""adx_period"": 18, ""adx_regime_threshold"": 30, ""atr_period"": 12, ""bb_period"": 19, ""bb_std"": 2.317, ""rsi_overbought"": 62, ""rsi_oversold"": 27, ""rsi_period"": 15, ""xrp_adx_period"": 14, ""xrp_adx_regime_threshold"": 33, ""xrp_atr_period"": 14, ""xrp_bb_period"": 18, ""xrp_bb_std"": 1.444, ""xrp_rsi_overbought"": 62, ""xrp_rsi_oversold"": 29, ""xrp_rsi_period"": 20, ""atr_stoploss_multiplier"": 2.667, ""rsi_exit"": 60, ""rsi_exit_short"": 33, ""xrp_atr_stoploss_multiplier"": 2.157, ""xrp_rsi_exit"": 57, ""xrp_rsi_exit_short"": 39}, ""minimal_roi"": {""0"": 0.448, ""143"": 0.12, ""689"": 0.044, ""884"": 0}, ""stoploss"": -0.276, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 4}"
20220123-20220423,20220423-20220523,0.65,"{""params"": {""adx_period"": 18, ""adx_regime_threshold"": 34, ""atr_period"": 15, ""bb_period"": 16, ""bb_std"": 1.976, ""rsi_overbought"": 59, ""rsi_oversold"": 27, ""rsi_period"": 13, ""xrp_adx_period"": 10, ""xrp_adx_regime_threshold"": 25, ""xrp_atr_period"": 20, ""xrp_bb_period"": 16, ""xrp_bb_std"": 2.68, ""xrp_rsi_overbought"": 56, ""xrp_rsi_oversold"": 27, ""xrp_rsi_period"": 10, ""atr_stoploss_multiplier"": 1.247, ""rsi_exit"": 56, ""rsi_exit_short"": 37, ""xrp_atr_stoploss_multiplier"": 2.975, ""xrp_rsi_exit"": 56, ""xrp_rsi_exit_short"": 43}, ""minimal_roi"": {""0"": 0.483, ""189"": 0.14, ""808"": 0.081, ""2030"": 0}, ""stoploss"": -0.083, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 4}"
20220222-20220523,20220523-20220622,,"{""params"": {""adx_period"": 13, ""adx_regime_threshold"": 35, ""atr_period"": 16, ""bb_period"": 17, ""bb_std"": 1.997, ""rsi_overbought"": 68, ""rsi_oversold"": 29, ""rsi_period"": 18, ""xrp_adx_period"": 17, ""xrp_adx_regime_threshold"": 28, ""xrp_atr_period"": 10, ""xrp_bb_period"": 16, ""xrp_bb_std"": 2.727, ""xrp_rsi_overbought"": 75, ""xrp_rsi_oversold"": 43, ""xrp_rsi_period"": 12, ""atr_stoploss_multiplier"": 1.732, ""rsi_exit"": 69, ""rsi_exit_short"": 45, ""xrp_atr_stoploss_multiplier"": 1.619, ""xrp_rsi_exit"": 66, ""xrp_rsi_exit_short"": 33}, ""minimal_roi"": {""0"": 0.384, ""471"": 0.111, ""846"": 0.026, ""2121"": 0}, ""stoploss"": -0.315, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 4}"
20220324-20220622,20220622-20220722,5.56,"{""params"": {""adx_period"": 20, ""adx_regime_threshold"": 33, ""atr_period"": 18, ""bb_period"": 20, ""bb_std"": 2.808, ""rsi_overbought"": 64, ""rsi_oversold"": 27, ""rsi_period"": 18, ""xrp_adx_period"": 14, ""xrp_adx_regime_threshold"": 35, ""xrp_atr_period"": 12, ""xrp_bb_period"": 24, ""xrp_bb_std"": 2.413, ""xrp_rsi_overbought"": 55, ""xrp_rsi_oversold"": 27, ""xrp_rsi_period"": 16, ""atr_stoploss_multiplier"": 1.904, ""rsi_exit"": 58, ""rsi_exit_short"": 30, ""xrp_atr_stoploss_multiplier"": 1.938, ""xrp_rsi_exit"": 66, ""xrp_rsi_exit_short"": 40}, ""minimal_roi"": {""0"": 0.478, ""288"": 0.172, ""836"": 0.054, ""1538"": 0}, ""stoploss"": -0.332, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 4}"
20220423-20220722,20220722-20220821,0.59,"{""params"": {""adx_period"": 17, ""adx_regime_threshold"": 19, ""atr_period"": 14, ""bb_period"": 21, ""bb_std"": 1.369, ""rsi_overbought"": 71, ""rsi_oversold"": 25, ""rsi_period"": 16, ""xrp_adx_period"": 19, ""xrp_adx_regime_threshold"": 22, ""xrp_atr_period"": 20, ""xrp_bb_period"": 21, ""xrp_bb_std"": 1.535, ""xrp_rsi_overbought"": 60, ""xrp_rsi_oversold"": 33, ""xrp_rsi_period"": 18, ""atr_stoploss_multiplier"": 1.83, ""rsi_exit"": 55, ""rsi_exit_short"": 39, ""xrp_atr_stoploss_multiplier"": 1.532, ""xrp_rsi_exit"": 58, ""xrp_rsi_exit_short"": 35}, ""minimal_roi"": {""0"": 0.528, ""152"": 0.182, ""336"": 0.09, ""1067"": 0}, ""stoploss"": -0.169, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 4}"
20220523-20220821,20220821-20220920,3.26,"{""params"": {""adx_period"": 17, ""adx_regime_threshold"": 21, ""atr_period"": 11, ""bb_period"": 15, ""bb_std"": 2.152, ""rsi_overbought"": 69, ""rsi_oversold"": 33, ""rsi_period"": 11, ""xrp_adx_period"": 13, ""xrp_adx_regime_threshold"": 19, ""xrp_atr_period"": 11, ""xrp_bb_period"": 16, ""xrp_bb_std"": 1.56, ""xrp_rsi_overbought"": 60, ""xrp_rsi_oversold"": 30, ""xrp_rsi_period"": 11, ""atr_stoploss_multiplier"": 2.077, ""rsi_exit"": 55, ""rsi_exit_short"": 44, ""xrp_atr_stoploss_multiplier"": 1.709, ""xrp_rsi_exit"": 56, ""xrp_rsi_exit_short"": 32}, ""minimal_roi"": {""0"": 0.223, ""400"": 0.163, ""1023"": 0.072, ""2178"": 0}, ""stoploss"": -0.257, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 4}"
