train_range,test_range,test_total_profit_pct,best_params
20230101-20230401,20230401-20230501,5.45,"{""params"": {""adx_period"": 17, ""adx_regime_threshold"": 35, ""atr_period"": 13, ""bb_period"": 21, ""bb_std"": 1.993, ""rsi_overbought"": 65, ""rsi_oversold"": 25, ""rsi_period"": 17, ""atr_stoploss_multiplier"": 1.665, ""rsi_exit"": 68, ""rsi_exit_short"": 34}, ""minimal_roi"": {""0"": 0.505, ""258"": 0.165, ""854"": 0.078, ""1068"": 0}, ""stoploss"": -0.158, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 1}"
20230131-20230501,20230501-20230531,1.41,"{""params"": {""adx_period"": 19, ""adx_regime_threshold"": 20, ""atr_period"": 10, ""bb_period"": 24, ""bb_std"": 2.232, ""rsi_overbought"": 70, ""rsi_oversold"": 41, ""rsi_period"": 11, ""atr_stoploss_multiplier"": 1.862, ""rsi_exit"": 68, ""rsi_exit_short"": 42}, ""minimal_roi"": {""0"": 0.302, ""466"": 0.162, ""967"": 0.026, ""2401"": 0}, ""stoploss"": -0.22, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 1}"
20230302-20230531,20230531-20230630,0.72,"{""params"": {""adx_period"": 20, ""adx_regime_threshold"": 18, ""atr_period"": 15, ""bb_period"": 15, ""bb_std"": 2.499, ""rsi_overbought"": 73, ""rsi_oversold"": 43, ""rsi_period"": 20, ""atr_stoploss_multiplier"": 2.505, ""rsi_exit"": 62, ""rsi_exit_short"": 39}, ""minimal_roi"": {""0"": 0.363, ""477"": 0.143, ""888"": 0.045, ""1710"": 0}, ""stoploss"": -0.182, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 1}"
20230401-20230630,20230630-20230730,0.33,"{""params"": {""adx_period"": 15, ""adx_regime_threshold"": 27, ""atr_period"": 10, ""bb_period"": 17, ""bb_std"": 1.464, ""rsi_overbought"": 59, ""rsi_oversold"": 35, ""rsi_period"": 20, ""atr_stoploss_multiplier"": 2.066, ""rsi_exit"": 56, ""rsi_exit_short"": 45}, ""minimal_roi"": {""0"": 0.306, ""138"": 0.166, ""407"": 0.025, ""1190"": 0}, ""stoploss"": -0.338, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 1}"
20230501-20230730,20230730-20230829,0.37,"{""params"": {""adx_period"": 17, ""adx_regime_threshold"": 23, ""atr_period"": 11, ""bb_period"": 22, ""bb_std"": 2.744, ""rsi_overbought"": 68, ""rsi_oversold"": 28, ""rsi_period"": 17, ""atr_stoploss_multiplier"": 1.546, ""rsi_exit"": 57, ""rsi_exit_short"": 34}, ""minimal_roi"": {""0"": 0.248, ""127"": 0.123, ""814"": 0.057, ""1943"": 0}, ""stoploss"": -0.153, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 1}"
20230531-20230829,20230829-20230928,1.68,"{""params"": {""adx_period"": 20, ""adx_regime_threshold"": 25, ""atr_period"": 12, ""bb_period"": 15, ""bb_std"": 2.788, ""rsi_overbought"": 67, ""rsi_oversold"": 25, ""rsi_period"": 16, ""atr_stoploss_multiplier"": 1.921, ""rsi_exit"": 64, ""rsi_exit_short"": 30}, ""minimal_roi"": {""0"": 0.433, ""134"": 0.08, ""413"": 0.047, ""1805"": 0}, ""stoploss"": -0.209, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 1}"
20230630-20230928,20230928-20231028,0.37,"{""params"": {""adx_period"": 18, ""adx_regime_threshold"": 18, ""atr_period"": 14, ""bb_period"": 18, ""bb_std"": 2.749, ""rsi_overbought"": 63, ""rsi_oversold"": 39, ""rsi_period"": 12, ""atr_stoploss_multiplier"": 2.322, ""rsi_exit"": 58, ""rsi_exit_short"": 37}, ""minimal_roi"": {""0"": 0.454, ""120"": 0.115, ""357"": 0.076, ""954"": 0}, ""stoploss"": -0.331, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 1}"
20230730-20231028,20231028-20231127,1.21,"{""params"": {""adx_period"": 19, ""adx_regime_threshold"": 18, ""atr_period"": 11, ""bb_period"": 21, ""bb_std"": 1.813, ""rsi_overbought"": 56, ""rsi_oversold"": 35, ""rsi_period"": 18, ""atr_stoploss_multiplier"": 2.586, ""rsi_exit"": 70, ""rsi_exit_short"": 36}, ""minimal_roi"": {""0"": 0.535, ""128"": 0.116, ""638"": 0.083, ""983"": 0}, ""stoploss"": -0.304, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 1}"
20230829-20231127,20231127-20231227,0.29,"{""params"": {""adx_period"": 16, ""adx_regime_threshold"": 24, ""atr_period"": 12, ""bb_period"": 25, ""bb_std"": 1.907, ""rsi_overbought"": 69, ""rsi_oversold"": 30, ""rsi_period"": 20, ""atr_stoploss_multiplier"": 2.631, ""rsi_exit"": 55, ""rsi_exit_short"": 37}, ""minimal_roi"": {""0"": 0.248, ""248"": 0.189, ""914"": 0.029, ""1301"": 0}, ""stoploss"": -0.335, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 1}"
20230928-20231227,20231227-20240126,,"{""params"": {""adx_period"": 12, ""adx_regime_threshold"": 21, ""atr_period"": 19, ""bb_period"": 22, ""bb_std"": 2.396, ""rsi_overbought"": 70, ""rsi_oversold"": 35, ""rsi_period"": 19, ""atr_stoploss_multiplier"": 1.603, ""rsi_exit"": 65, ""rsi_exit_short"": 38}, ""minimal_roi"": {""0"": 0.456, ""136"": 0.137, ""821"": 0.072, ""1856"": 0}, ""stoploss"": -0.312, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 1}"
20231028-20240126,20240126-20240225,3.34,"{""params"": {""adx_period"": 16, ""adx_regime_threshold"": 21, ""atr_period"": 10, ""bb_period"": 15, ""bb_std"": 2.18, ""rsi_overbought"": 57, ""rsi_oversold"": 30, ""rsi_period"": 16, ""atr_stoploss_multiplier"": 2.697, ""rsi_exit"": 69, ""rsi_exit_short"": 38}, ""minimal_roi"": {""0"": 0.377, ""202"": 0.106, ""616"": 0.038, ""1493"": 0}, ""stoploss"": -0.34, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 1}"
20231127-20240225,20240225-20240326,0.76,"{""params"": {""adx_period"": 15, ""adx_regime_threshold"": 20, ""atr_period"": 12, ""bb_period"": 24, ""bb_std"": 2.775, ""rsi_overbought"": 74, ""rsi_oversold"": 32, ""rsi_period"": 12, ""atr_stoploss_multiplier"": 1.572, ""rsi_exit"": 67, ""rsi_exit_short"": 31}, ""minimal_roi"": {""0"": 0.279, ""461"": 0.092, ""1104"": 0.03, ""2114"": 0}, ""stoploss"": -0.233, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 1}"
20231227-20240326,20240326-20240425,0.34,"{""params"": {""adx_period"": 13, ""adx_regime_threshold"": 33, ""atr_period"": 16, ""bb_period"": 20, ""bb_std"": 2.27, ""rsi_overbought"": 56, ""rsi_oversold"": 35, ""rsi_period"": 14, ""atr_stoploss_multiplier"": 2.179, ""rsi_exit"": 70, ""rsi_exit_short"": 44}, ""minimal_roi"": {""0"": 0.551, ""186"": 0.16, ""606"": 0.051, ""1842"": 0}, ""stoploss"": -0.171, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 1}"
20240126-20240425,20240425-20240525,1.3,"{""params"": {""adx_period"": 10, ""adx_regime_threshold"": 26, ""atr_period"": 16, ""bb_period"": 16, ""bb_std"": 2.469, ""rsi_overbought"": 74, ""rsi_oversold"": 36, ""rsi_period"": 12, ""atr_stoploss_multiplier"": 2.603, ""rsi_exit"": 67, ""rsi_exit_short"": 31}, ""minimal_roi"": {""0"": 0.526, ""317"": 0.235, ""780"": 0.082, ""1039"": 0}, ""stoploss"": -0.3, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 1}"
20240225-20240525,20240525-20240624,0.21,"{""params"": {""adx_period"": 16, ""adx_regime_threshold"": 20, ""atr_period"": 18, ""bb_period"": 25, ""bb_std"": 1.347, ""rsi_overbought"": 61, ""rsi_oversold"": 32, ""rsi_period"": 13, ""atr_stoploss_multiplier"": 1.575, ""rsi_exit"": 56, ""rsi_exit_short"": 42}, ""minimal_roi"": {""0"": 0.531, ""397"": 0.169, ""1090"": 0.077, ""2220"": 0}, ""stoploss"": -0.19, ""trailing_stop"": false, ""trailing_stop_positive"": null, ""trailing_stop_positive_offset"": 0.0, ""trailing_only_offset_is_reached"": false, ""max_open_trades"": 1}"
