train_range,test_range,test_total_profit_pct,best_params
20230101-20230401,20230401-20230501,0.09,"{""params"": {""adx_period"": 15, ""adx_threshold"": 30, ""atr_period"": 17, ""bb_period"": 20, ""bb_std"": 1.623, ""macd_fast"": 9, ""macd_signal"": 8, ""macd_slow"": 26, ""stoch_d_period"": 6, ""stoch_k_period"": 20, ""stoch_threshold"": 48, ""atr_stoploss_multiplier"": 2.428, ""stoch_overbought"": 83, ""stoch_oversold"": 18}, ""minimal_roi"": {""0"": 0.207, ""360"": 0.111, ""560"": 0.041, ""1579"": 0}, ""stoploss"": -0.35, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 3}"
20230131-20230501,20230501-20230531,0.36,"{""params"": {""adx_period"": 20, ""adx_threshold"": 20, ""atr_period"": 19, ""bb_period"": 24, ""bb_std"": 2.049, ""macd_fast"": 10, ""macd_signal"": 9, ""macd_slow"": 22, ""stoch_d_period"": 4, ""stoch_k_period"": 17, ""stoch_threshold"": 49, ""atr_stoploss_multiplier"": 3.288, ""stoch_overbought"": 80, ""stoch_oversold"": 16}, ""minimal_roi"": {""0"": 0.41, ""391"": 0.185, ""817"": 0.066, ""1294"": 0}, ""stoploss"": -0.135, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 3}"
20230302-20230531,20230531-20230630,1.69,"{""params"": {""adx_period"": 18, ""adx_threshold"": 27, ""atr_period"": 17, ""bb_period"": 21, ""bb_std"": 2.459, ""macd_fast"": 11, ""macd_signal"": 10, ""macd_slow"": 29, ""stoch_d_period"": 3, ""stoch_k_period"": 17, ""stoch_threshold"": 47, ""atr_stoploss_multiplier"": 2.561, ""stoch_overbought"": 76, ""stoch_oversold"": 11}, ""minimal_roi"": {""0"": 0.608, ""466"": 0.178, ""975"": 0.041, ""1635"": 0}, ""stoploss"": -0.071, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 3}"
20230401-20230630,20230630-20230730,1.58,"{""params"": {""adx_period"": 20, ""adx_threshold"": 21, ""atr_period"": 13, ""bb_period"": 19, ""bb_std"": 2.011, ""macd_fast"": 13, ""macd_signal"": 12, ""macd_slow"": 20, ""stoch_d_period"": 6, ""stoch_k_period"": 18, ""stoch_threshold"": 48, ""atr_stoploss_multiplier"": 2.903, ""stoch_overbought"": 78, ""stoch_oversold"": 25}, ""minimal_roi"": {""0"": 0.324, ""398"": 0.103, ""627"": 0.067, ""1293"": 0}, ""stoploss"": -0.209, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 3}"
20230501-20230730,20230730-20230829,2.42,"{""params"": {""adx_period"": 11, ""adx_threshold"": 23, ""atr_period"": 19, ""bb_period"": 22, ""bb_std"": 1.646, ""macd_fast"": 13, ""macd_signal"": 9, ""macd_slow"": 24, ""stoch_d_period"": 3, ""stoch_k_period"": 12, ""stoch_threshold"": 53, ""atr_stoploss_multiplier"": 3.524, ""stoch_overbought"": 90, ""stoch_oversold"": 11}, ""minimal_roi"": {""0"": 0.405, ""136"": 0.236, ""294"": 0.09, ""877"": 0}, ""stoploss"": -0.257, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 3}"
20230531-20230829,20230829-20230928,0.03,"{""params"": {""adx_period"": 13, ""adx_threshold"": 26, ""atr_period"": 12, ""bb_period"": 16, ""bb_std"": 2.434, ""macd_fast"": 10, ""macd_signal"": 12, ""macd_slow"": 20, ""stoch_d_period"": 3, ""stoch_k_period"": 17, ""stoch_threshold"": 55, ""atr_stoploss_multiplier"": 3.835, ""stoch_overbought"": 87, ""stoch_oversold"": 25}, ""minimal_roi"": {""0"": 0.213, ""234"": 0.112, ""881"": 0.077, ""1096"": 0}, ""stoploss"": -0.078, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 3}"
20230630-20230928,20230928-20231028,0.91,"{""params"": {""adx_period"": 14, ""adx_threshold"": 28, ""atr_period"": 11, ""bb_period"": 19, ""bb_std"": 2.197, ""macd_fast"": 9, ""macd_signal"": 11, ""macd_slow"": 23, ""stoch_d_period"": 5, ""stoch_k_period"": 18, ""stoch_threshold"": 50, ""atr_stoploss_multiplier"": 3.702, ""stoch_overbought"": 83, ""stoch_oversold"": 10}, ""minimal_roi"": {""0"": 0.355, ""163"": 0.14, ""389"": 0.027, ""1043"": 0}, ""stoploss"": -0.332, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 3}"
20230730-20231028,20231028-20231127,2.06,"{""params"": {""adx_period"": 16, ""adx_threshold"": 23, ""atr_period"": 19, ""bb_period"": 20, ""bb_std"": 1.602, ""macd_fast"": 16, ""macd_signal"": 8, ""macd_slow"": 25, ""stoch_d_period"": 4, ""stoch_k_period"": 10, ""stoch_threshold"": 53, ""atr_stoploss_multiplier"": 1.733, ""stoch_overbought"": 75, ""stoch_oversold"": 14}, ""minimal_roi"": {""0"": 0.314, ""458"": 0.116, ""1075"": 0.052, ""1578"": 0}, ""stoploss"": -0.103, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 3}"
20230829-20231127,20231127-20231227,0.88,"{""params"": {""adx_period"": 13, ""adx_threshold"": 24, ""atr_period"": 14, ""bb_period"": 18, ""bb_std"": 1.541, ""macd_fast"": 11, ""macd_signal"": 8, ""macd_slow"": 30, ""stoch_d_period"": 3, ""stoch_k_period"": 13, ""stoch_threshold"": 45, ""atr_stoploss_multiplier"": 1.878, ""stoch_overbought"": 78, ""stoch_oversold"": 16}, ""minimal_roi"": {""0"": 0.437, ""302"": 0.224, ""709"": 0.081, ""1252"": 0}, ""stoploss"": -0.253, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 3}"
20230928-20231227,20231227-20240126,0.08,"{""params"": {""adx_period"": 12, ""adx_threshold"": 23, ""atr_period"": 20, ""bb_period"": 18, ""bb_std"": 2.0, ""macd_fast"": 10, ""macd_signal"": 11, ""macd_slow"": 20, ""stoch_d_period"": 5, ""stoch_k_period"": 15, ""stoch_threshold"": 45, ""atr_stoploss_multiplier"": 2.437, ""stoch_overbought"": 82, ""stoch_oversold"": 23}, ""minimal_roi"": {""0"": 0.428, ""358"": 0.098, ""683"": 0.052, ""973"": 0}, ""stoploss"": -0.334, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 3}"
