train_range,test_range,test_total_profit_pct,best_params
20230101-20230401,20230401-20230501,2.89,"{""params"": {""adx_period"": 19, ""adx_threshold"": 22, ""atr_period"": 11, ""bb_period"": 21, ""bb_std"": 2.275, ""macd_fast"": 10, ""macd_signal"": 9, ""macd_slow"": 22, ""stoch_d_period"": 3, ""stoch_k_period"": 12, ""stoch_threshold"": 47, ""atr_stoploss_multiplier"": 3.498, ""stoch_overbought"": 87, ""stoch_oversold"": 22}, ""minimal_roi"": {""0"": 0.319, ""280"": 0.176, ""867"": 0.035, ""2226"": 0}, ""stoploss"": -0.115, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 3}"
20230131-20230501,20230501-20230531,2.93,"{""params"": {""adx_period"": 16, ""adx_threshold"": 25, ""atr_period"": 16, ""bb_period"": 16, ""bb_std"": 1.63, ""macd_fast"": 12, ""macd_signal"": 9, ""macd_slow"": 27, ""stoch_d_period"": 3, ""stoch_k_period"": 15, ""stoch_threshold"": 49, ""atr_stoploss_multiplier"": 1.969, ""stoch_overbought"": 78, ""stoch_oversold"": 19}, ""minimal_roi"": {""0"": 0.16, ""256"": 0.08, ""544"": 0.039, ""1736"": 0}, ""stoploss"": -0.142, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 3}"
20230302-20230531,20230531-20230630,5.1,"{""params"": {""adx_period"": 13, ""adx_threshold"": 21, ""atr_period"": 15, ""bb_period"": 21, ""bb_std"": 2.058, ""macd_fast"": 14, ""macd_signal"": 9, ""macd_slow"": 22, ""stoch_d_period"": 6, ""stoch_k_period"": 17, ""stoch_threshold"": 54, ""atr_stoploss_multiplier"": 2.234, ""stoch_overbought"": 88, ""stoch_oversold"": 24}, ""minimal_roi"": {""0"": 0.427, ""130"": 0.088, ""747"": 0.046, ""1634"": 0}, ""stoploss"": -0.049, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 3}"
20230401-20230630,20230630-20230730,2.72,"{""params"": {""adx_period"": 12, ""adx_threshold"": 21, ""atr_period"": 10, ""bb_period"": 17, ""bb_std"": 1.832, ""macd_fast"": 8, ""macd_signal"": 12, ""macd_slow"": 23, ""stoch_d_period"": 4, ""stoch_k_period"": 12, ""stoch_threshold"": 53, ""atr_stoploss_multiplier"": 3.42, ""stoch_overbought"": 83, ""stoch_oversold"": 20}, ""minimal_roi"": {""0"": 0.284, ""330"": 0.202, ""801"": 0.041, ""1654"": 0}, ""stoploss"": -0.04, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 3}"
20230501-20230730,20230730-20230829,11.6,"{""params"": {""adx_period"": 18, ""adx_threshold"": 21, ""atr_period"": 19, ""bb_period"": 15, ""bb_std"": 1.557, ""macd_fast"": 9, ""macd_signal"": 8, ""macd_slow"": 21, ""stoch_d_period"": 3, ""stoch_k_period"": 13, ""stoch_threshold"": 55, ""atr_stoploss_multiplier"": 3.865, ""stoch_overbought"": 75, ""stoch_oversold"": 20}, ""minimal_roi"": {""0"": 0.461, ""326"": 0.102, ""930"": 0.023, ""1637"": 0}, ""stoploss"": -0.248, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 3}"
20230531-20230829,20230829-20230928,0.62,"{""params"": {""adx_period"": 11, ""adx_threshold"": 22, ""atr_period"": 18, ""bb_period"": 18, ""bb_std"": 1.78, ""macd_fast"": 10, ""macd_signal"": 12, ""macd_slow"": 23, ""stoch_d_period"": 5, ""stoch_k_period"": 16, ""stoch_threshold"": 46, ""atr_stoploss_multiplier"": 3.503, ""stoch_overbought"": 88, ""stoch_oversold"": 15}, ""minimal_roi"": {""0"": 0.561, ""448"": 0.119, ""1002"": 0.023, ""1259"": 0}, ""stoploss"": -0.249, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 3}"
20230630-20230928,20230928-20231028,5.1,"{""params"": {""adx_period"": 18, ""adx_threshold"": 28, ""atr_period"": 18, ""bb_period"": 21, ""bb_std"": 2.41, ""macd_fast"": 11, ""macd_signal"": 10, ""macd_slow"": 27, ""stoch_d_period"": 4, ""stoch_k_period"": 14, ""stoch_threshold"": 53, ""atr_stoploss_multiplier"": 1.934, ""stoch_overbought"": 85, ""stoch_oversold"": 18}, ""minimal_roi"": {""0"": 0.274, ""258"": 0.121, ""966"": 0.083, ""1129"": 0}, ""stoploss"": -0.079, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 3}"
20230730-20231028,20231028-20231127,0.32,"{""params"": {""adx_period"": 12, ""adx_threshold"": 21, ""atr_period"": 11, ""bb_period"": 16, ""bb_std"": 2.196, ""macd_fast"": 11, ""macd_signal"": 7, ""macd_slow"": 20, ""stoch_d_period"": 5, ""stoch_k_period"": 11, ""stoch_threshold"": 46, ""atr_stoploss_multiplier"": 3.36, ""stoch_overbought"": 86, ""stoch_oversold"": 12}, ""minimal_roi"": {""0"": 0.372, ""407"": 0.137, ""720"": 0.041, ""2017"": 0}, ""stoploss"": -0.195, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 3}"
20230829-20231127,20231127-20231227,2.34,"{""params"": {""adx_period"": 17, ""adx_threshold"": 20, ""atr_period"": 19, ""bb_period"": 21, ""bb_std"": 1.959, ""macd_fast"": 10, ""macd_signal"": 8, ""macd_slow"": 23, ""stoch_d_period"": 5, ""stoch_k_period"": 15, ""stoch_threshold"": 45, ""atr_stoploss_multiplier"": 3.642, ""stoch_overbought"": 75, ""stoch_oversold"": 18}, ""minimal_roi"": {""0"": 0.379, ""395"": 0.183, ""1023"": 0.059, ""1576"": 0}, ""stoploss"": -0.288, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 3}"
20230928-20231227,20231227-20240126,2.61,"{""params"": {""adx_period"": 19, ""adx_threshold"": 30, ""atr_period"": 19, ""bb_period"": 19, ""bb_std"": 1.768, ""macd_fast"": 16, ""macd_signal"": 8, ""macd_slow"": 27, ""stoch_d_period"": 5, ""stoch_k_period"": 18, ""stoch_threshold"": 51, ""atr_stoploss_multiplier"": 3.338, ""stoch_overbought"": 81, ""stoch_oversold"": 25}, ""minimal_roi"": {""0"": 0.146, ""224"": 0.102, ""464"": 0.059, ""1471"": 0}, ""stoploss"": -0.173, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 3}"
