train_range,test_range,test_total_profit_pct,best_params
20210826-20211124,20211124-20211224,0.5,"{""params"": {""adx_period"": 15, ""adx_threshold"": 21, ""atr_period"": 12, ""bb_period"": 19, ""bb_std"": 1.86, ""macd_fast"": 8, ""macd_signal"": 9, ""macd_slow"": 25, ""stoch_d_period"": 6, ""stoch_k_period"": 17, ""stoch_threshold"": 46, ""xrp_adx_period"": 12, ""xrp_adx_threshold"": 23, ""xrp_atr_period"": 19, ""xrp_bb_period"": 24, ""xrp_bb_std"": 2.223, ""xrp_macd_fast"": 14, ""xrp_macd_signal"": 9, ""xrp_macd_slow"": 26, ""xrp_stoch_d_period"": 5, ""xrp_stoch_k_period"": 18, ""xrp_stoch_threshold"": 47, ""atr_stoploss_multiplier"": 1.89, ""stoch_overbought"": 80, ""stoch_oversold"": 20, ""xrp_atr_stoploss_multiplier"": 1.549, ""xrp_stoch_overbought"": 76, ""xrp_stoch_oversold"": 23}, ""minimal_roi"": {""0"": 0.356, ""199"": 0.117, ""551"": 0.06, ""1427"": 0}, ""stoploss"": -0.164, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 4}"
20210925-20211224,20211224-20220123,1.03,"{""params"": {""adx_period"": 17, ""adx_threshold"": 25, ""atr_period"": 13, ""bb_period"": 16, ""bb_std"": 1.692, ""macd_fast"": 9, ""macd_signal"": 10, ""macd_slow"": 23, ""stoch_d_period"": 6, ""stoch_k_period"": 19, ""stoch_threshold"": 50, ""xrp_adx_period"": 10, ""xrp_adx_threshold"": 30, ""xrp_atr_period"": 12, ""xrp_bb_period"": 17, ""xrp_bb_std"": 2.152, ""xrp_macd_fast"": 13, ""xrp_macd_signal"": 10, ""xrp_macd_slow"": 24, ""xrp_stoch_d_period"": 5, ""xrp_stoch_k_period"": 10, ""xrp_stoch_threshold"": 55, ""atr_stoploss_multiplier"": 3.758, ""stoch_overbought"": 80, ""stoch_oversold"": 22, ""xrp_atr_stoploss_multiplier"": 1.693, ""xrp_stoch_overbought"": 81, ""xrp_stoch_oversold"": 17}, ""minimal_roi"": {""0"": 0.555, ""212"": 0.118, ""451"": 0.046, ""1012"": 0}, ""stoploss"": -0.161, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 4}"
20211025-20220123,20220123-20220222,1.04,"{""params"": {""adx_period"": 14, ""adx_threshold"": 30, ""atr_period"": 17, ""bb_period"": 21, ""bb_std"": 2.214, ""macd_fast"": 12, ""macd_signal"": 8, ""macd_slow"": 26, ""stoch_d_period"": 4, ""stoch_k_period"": 12, ""stoch_threshold"": 45, ""xrp_adx_period"": 20, ""xrp_adx_threshold"": 24, ""xrp_atr_period"": 20, ""xrp_bb_period"": 20, ""xrp_bb_std"": 2.349, ""xrp_macd_fast"": 13, ""xrp_macd_signal"": 10, ""xrp_macd_slow"": 28, ""xrp_stoch_d_period"": 4, ""xrp_stoch_k_period"": 13, ""xrp_stoch_threshold"": 54, ""atr_stoploss_multiplier"": 2.753, ""stoch_overbought"": 87, ""stoch_oversold"": 20, ""xrp_atr_stoploss_multiplier"": 2.819, ""xrp_stoch_overbought"": 85, ""xrp_stoch_oversold"": 10}, ""minimal_roi"": {""0"": 0.417, ""415"": 0.127, ""543"": 0.029, ""1507"": 0}, ""stoploss"": -0.166, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 4}"
20211124-20220222,20220222-20220324,4.73,"{""params"": {""adx_period"": 18, ""adx_threshold"": 23, ""atr_period"": 16, ""bb_period"": 22, ""bb_std"": 2.168, ""macd_fast"": 10, ""macd_signal"": 9, ""macd_slow"": 28, ""stoch_d_period"": 4, ""stoch_k_period"": 12, ""stoch_threshold"": 52, ""xrp_adx_period"": 14, ""xrp_adx_threshold"": 25, ""xrp_atr_period"": 14, ""xrp_bb_period"": 21, ""xrp_bb_std"": 2.368, ""xrp_macd_fast"": 14, ""xrp_macd_signal"": 11, ""xrp_macd_slow"": 23, ""xrp_stoch_d_period"": 6, ""xrp_stoch_k_period"": 10, ""xrp_stoch_threshold"": 47, ""atr_stoploss_multiplier"": 2.135, ""stoch_overbought"": 82, ""stoch_oversold"": 13, ""xrp_atr_stoploss_multiplier"": 3.471, ""xrp_stoch_overbought"": 88, ""xrp_stoch_oversold"": 18}, ""minimal_roi"": {""0"": 0.401, ""250"": 0.105, ""969"": 0.066, ""1301"": 0}, ""stoploss"": -0.321, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 4}"
20211224-20220324,20220324-20220423,0.34,"{""params"": {""adx_period"": 20, ""adx_threshold"": 27, ""atr_period"": 13, ""bb_period"": 21, ""bb_std"": 1.92, ""macd_fast"": 13, ""macd_signal"": 11, ""macd_slow"": 25, ""stoch_d_period"": 3, ""stoch_k_period"": 10, ""stoch_threshold"": 52, ""xrp_adx_period"": 11, ""xrp_adx_threshold"": 26, ""xrp_atr_period"": 15, ""xrp_bb_period"": 22, ""xrp_bb_std"": 2.244, ""xrp_macd_fast"": 16, ""xrp_macd_signal"": 8, ""xrp_macd_slow"": 24, ""xrp_stoch_d_period"": 4, ""xrp_stoch_k_period"": 12, ""xrp_stoch_threshold"": 46, ""atr_stoploss_multiplier"": 1.849, ""stoch_overbought"": 90, ""stoch_oversold"": 16, ""xrp_atr_stoploss_multiplier"": 2.526, ""xrp_stoch_overbought"": 83, ""xrp_stoch_oversold"": 11}, ""minimal_roi"": {""0"": 0.623, ""380"": 0.199, ""747"": 0.084, ""1641"": 0}, ""stoploss"": -0.16, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 4}"
20220123-20220423,20220423-20220523,0.87,"{""params"": {""adx_period"": 13, ""adx_threshold"": 30, ""atr_period"": 19, ""bb_period"": 17, ""bb_std"": 1.57, ""macd_fast"": 14, ""macd_signal"": 11, ""macd_slow"": 21, ""stoch_d_period"": 6, ""stoch_k_period"": 20, ""stoch_threshold"": 50, ""xrp_adx_period"": 19, ""xrp_adx_threshold"": 30, ""xrp_atr_period"": 12, ""xrp_bb_period"": 15, ""xrp_bb_std"": 1.521, ""xrp_macd_fast"": 13, ""xrp_macd_signal"": 8, ""xrp_macd_slow"": 27, ""xrp_stoch_d_period"": 6, ""xrp_stoch_k_period"": 15, ""xrp_stoch_threshold"": 47, ""atr_stoploss_multiplier"": 1.968, ""stoch_overbought"": 85, ""stoch_oversold"": 22, ""xrp_atr_stoploss_multiplier"": 2.904, ""xrp_stoch_overbought"": 87, ""xrp_stoch_oversold"": 11}, ""minimal_roi"": {""0"": 0.592, ""408"": 0.194, ""546"": 0.043, ""811"": 0}, ""stoploss"": -0.26, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 4}"
20220222-20220523,20220523-20220622,0.73,"{""params"": {""adx_period"": 18, ""adx_threshold"": 29, ""atr_period"": 12, ""bb_period"": 17, ""bb_std"": 1.95, ""macd_fast"": 12, ""macd_signal"": 9, ""macd_slow"": 26, ""stoch_d_period"": 5, ""stoch_k_period"": 13, ""stoch_threshold"": 47, ""xrp_adx_period"": 19, ""xrp_adx_threshold"": 20, ""xrp_atr_period"": 15, ""xrp_bb_period"": 16, ""xrp_bb_std"": 2.345, ""xrp_macd_fast"": 8, ""xrp_macd_signal"": 9, ""xrp_macd_slow"": 26, ""xrp_stoch_d_period"": 4, ""xrp_stoch_k_period"": 17, ""xrp_stoch_threshold"": 51, ""atr_stoploss_multiplier"": 2.3, ""stoch_overbought"": 87, ""stoch_oversold"": 24, ""xrp_atr_stoploss_multiplier"": 2.89, ""xrp_stoch_overbought"": 81, ""xrp_stoch_oversold"": 15}, ""minimal_roi"": {""0"": 0.569, ""409"": 0.158, ""612"": 0.081, ""968"": 0}, ""stoploss"": -0.213, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 4}"
20220324-20220622,20220622-20220722,4.86,"{""params"": {""adx_period"": 19, ""adx_threshold"": 25, ""atr_period"": 15, ""bb_period"": 18, ""bb_std"": 2.185, ""macd_fast"": 8, ""macd_signal"": 7, ""macd_slow"": 22, ""stoch_d_period"": 6, ""stoch_k_period"": 14, ""stoch_threshold"": 46, ""xrp_adx_period"": 16, ""xrp_adx_threshold"": 21, ""xrp_atr_period"": 11, ""xrp_bb_period"": 18, ""xrp_bb_std"": 2.01, ""xrp_macd_fast"": 9, ""xrp_macd_signal"": 7, ""xrp_macd_slow"": 26, ""xrp_stoch_d_period"": 6, ""xrp_stoch_k_period"": 19, ""xrp_stoch_threshold"": 54, ""atr_stoploss_multiplier"": 2.077, ""stoch_overbought"": 81, ""stoch_oversold"": 13, ""xrp_atr_stoploss_multiplier"": 2.036, ""xrp_stoch_overbought"": 77, ""xrp_stoch_oversold"": 11}, ""minimal_roi"": {""0"": 0.557, ""461"": 0.145, ""789"": 0.031, ""1905"": 0}, ""stoploss"": -0.272, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 4}"
20220423-20220722,20220722-20220821,0.67,"{""params"": {""adx_period"": 13, ""adx_threshold"": 28, ""atr_period"": 11, ""bb_period"": 24, ""bb_std"": 1.911, ""macd_fast"": 14, ""macd_signal"": 9, ""macd_slow"": 26, ""stoch_d_period"": 3, ""stoch_k_period"": 10, ""stoch_threshold"": 51, ""xrp_adx_period"": 17, ""xrp_adx_threshold"": 22, ""xrp_atr_period"": 14, ""xrp_bb_period"": 17, ""xrp_bb_std"": 1.655, ""xrp_macd_fast"": 8, ""xrp_macd_signal"": 12, ""xrp_macd_slow"": 24, ""xrp_stoch_d_period"": 4, ""xrp_stoch_k_period"": 18, ""xrp_stoch_threshold"": 50, ""atr_stoploss_multiplier"": 1.978, ""stoch_overbought"": 90, ""stoch_oversold"": 17, ""xrp_atr_stoploss_multiplier"": 2.543, ""xrp_stoch_overbought"": 82, ""xrp_stoch_oversold"": 19}, ""minimal_roi"": {""0"": 0.184, ""211"": 0.073, ""931"": 0.04, ""1610"": 0}, ""stoploss"": -0.345, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 4}"
20220523-20220821,20220821-20220920,2.89,"{""params"": {""adx_period"": 15, ""adx_threshold"": 23, ""atr_period"": 18, ""bb_period"": 17, ""bb_std"": 2.182, ""macd_fast"": 8, ""macd_signal"": 11, ""macd_slow"": 25, ""stoch_d_period"": 6, ""stoch_k_period"": 14, ""stoch_threshold"": 51, ""xrp_adx_period"": 17, ""xrp_adx_threshold"": 25, ""xrp_atr_period"": 10, ""xrp_bb_period"": 15, ""xrp_bb_std"": 2.405, ""xrp_macd_fast"": 11, ""xrp_macd_signal"": 8, ""xrp_macd_slow"": 25, ""xrp_stoch_d_period"": 4, ""xrp_stoch_k_period"": 20, ""xrp_stoch_threshold"": 49, ""atr_stoploss_multiplier"": 2.769, ""stoch_overbought"": 82, ""stoch_oversold"": 24, ""xrp_atr_stoploss_multiplier"": 1.638, ""xrp_stoch_overbought"": 87, ""xrp_stoch_oversold"": 17}, ""minimal_roi"": {""0"": 0.402, ""436"": 0.176, ""558"": 0.056, ""1135"": 0}, ""stoploss"": -0.207, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 4}"
