train_range,test_range,test_total_profit_pct,best_params
20230101-20230401,20230401-20230501,1.01,"{""params"": {""adx_period"": 19, ""adx_threshold"": 20, ""atr_period"": 15, ""bb_period"": 25, ""bb_std"": 2.08, ""macd_fast"": 14, ""macd_signal"": 10, ""macd_slow"": 26, ""stoch_d_period"": 6, ""stoch_k_period"": 20, ""stoch_threshold"": 46, ""atr_stoploss_multiplier"": 2.872, ""stoch_overbought"": 75, ""stoch_oversold"": 15}, ""minimal_roi"": {""0"": 0.24, ""476"": 0.145, ""1160"": 0.074, ""1727"": 0}, ""stoploss"": -0.312, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 1}"
20230131-20230501,20230501-20230531,0.8,"{""params"": {""adx_period"": 12, ""adx_threshold"": 25, ""atr_period"": 12, ""bb_period"": 19, ""bb_std"": 1.919, ""macd_fast"": 11, ""macd_signal"": 10, ""macd_slow"": 26, ""stoch_d_period"": 5, ""stoch_k_period"": 14, ""stoch_threshold"": 54, ""atr_stoploss_multiplier"": 3.054, ""stoch_overbought"": 81, ""stoch_oversold"": 14}, ""minimal_roi"": {""0"": 0.598, ""202"": 0.142, ""390"": 0.07, ""815"": 0}, ""stoploss"": -0.042, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 1}"
20230302-20230531,20230531-20230630,0.46,"{""params"": {""adx_period"": 18, ""adx_threshold"": 20, ""atr_period"": 15, ""bb_period"": 25, ""bb_std"": 1.709, ""macd_fast"": 12, ""macd_signal"": 10, ""macd_slow"": 28, ""stoch_d_period"": 6, ""stoch_k_period"": 17, ""stoch_threshold"": 50, ""atr_stoploss_multiplier"": 3.878, ""stoch_overbought"": 83, ""stoch_oversold"": 15}, ""minimal_roi"": {""0"": 0.505, ""133"": 0.179, ""506"": 0.067, ""668"": 0}, ""stoploss"": -0.33, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 1}"
20230401-20230630,20230630-20230730,,"{""params"": {""adx_period"": 19, ""adx_threshold"": 25, ""atr_period"": 16, ""bb_period"": 19, ""bb_std"": 1.936, ""macd_fast"": 9, ""macd_signal"": 11, ""macd_slow"": 25, ""stoch_d_period"": 6, ""stoch_k_period"": 17, ""stoch_threshold"": 47, ""atr_stoploss_multiplier"": 3.907, ""stoch_overbought"": 90, ""stoch_oversold"": 11}, ""minimal_roi"": {""0"": 0.341, ""380"": 0.059, ""661"": 0.034, ""1661"": 0}, ""stoploss"": -0.32, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 1}"
20230501-20230730,20230730-20230829,0.7,"{""params"": {""adx_period"": 10, ""adx_threshold"": 24, ""atr_period"": 11, ""bb_period"": 16, ""bb_std"": 2.268, ""macd_fast"": 16, ""macd_signal"": 12, ""macd_slow"": 26, ""stoch_d_period"": 5, ""stoch_k_period"": 12, ""stoch_threshold"": 55, ""atr_stoploss_multiplier"": 2.918, ""stoch_overbought"": 90, ""stoch_oversold"": 13}, ""minimal_roi"": {""0"": 0.302, ""254"": 0.185, ""883"": 0.089, ""2273"": 0}, ""stoploss"": -0.079, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 1}"
20230531-20230829,20230829-20230928,1.23,"{""params"": {""adx_period"": 14, ""adx_threshold"": 21, ""atr_period"": 12, ""bb_period"": 24, ""bb_std"": 2.35, ""macd_fast"": 10, ""macd_signal"": 9, ""macd_slow"": 20, ""stoch_d_period"": 4, ""stoch_k_period"": 18, ""stoch_threshold"": 46, ""atr_stoploss_multiplier"": 2.229, ""stoch_overbought"": 90, ""stoch_oversold"": 22}, ""minimal_roi"": {""0"": 0.415, ""165"": 0.155, ""546"": 0.081, ""1558"": 0}, ""stoploss"": -0.026, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 1}"
20230630-20230928,20230928-20231028,0.51,"{""params"": {""adx_period"": 19, ""adx_threshold"": 20, ""atr_period"": 19, ""bb_period"": 15, ""bb_std"": 2.445, ""macd_fast"": 13, ""macd_signal"": 11, ""macd_slow"": 20, ""stoch_d_period"": 5, ""stoch_k_period"": 12, ""stoch_threshold"": 51, ""atr_stoploss_multiplier"": 2.275, ""stoch_overbought"": 84, ""stoch_oversold"": 19}, ""minimal_roi"": {""0"": 0.516, ""436"": 0.207, ""1106"": 0.066, ""1364"": 0}, ""stoploss"": -0.323, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 1}"
20230730-20231028,20231028-20231127,0.84,"{""params"": {""adx_period"": 10, ""adx_threshold"": 30, ""atr_period"": 12, ""bb_period"": 17, ""bb_std"": 1.776, ""macd_fast"": 8, ""macd_signal"": 10, ""macd_slow"": 27, ""stoch_d_period"": 5, ""stoch_k_period"": 11, ""stoch_threshold"": 52, ""atr_stoploss_multiplier"": 2.212, ""stoch_overbought"": 78, ""stoch_oversold"": 24}, ""minimal_roi"": {""0"": 0.567, ""321"": 0.213, ""465"": 0.061, ""1904"": 0}, ""stoploss"": -0.057, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 1}"
20230829-20231127,20231127-20231227,3.94,"{""params"": {""adx_period"": 18, ""adx_threshold"": 21, ""atr_period"": 20, ""bb_period"": 21, ""bb_std"": 1.639, ""macd_fast"": 11, ""macd_signal"": 11, ""macd_slow"": 30, ""stoch_d_period"": 4, ""stoch_k_period"": 13, ""stoch_threshold"": 46, ""atr_stoploss_multiplier"": 2.408, ""stoch_overbought"": 85, ""stoch_oversold"": 12}, ""minimal_roi"": {""0"": 0.425, ""342"": 0.142, ""981"": 0.061, ""2222"": 0}, ""stoploss"": -0.278, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 1}"
20230928-20231227,20231227-20240126,1.6,"{""params"": {""adx_period"": 17, ""adx_threshold"": 20, ""atr_period"": 13, ""bb_period"": 25, ""bb_std"": 2.147, ""macd_fast"": 11, ""macd_signal"": 12, ""macd_slow"": 25, ""stoch_d_period"": 5, ""stoch_k_period"": 12, ""stoch_threshold"": 47, ""atr_stoploss_multiplier"": 3.276, ""stoch_overbought"": 82, ""stoch_oversold"": 19}, ""minimal_roi"": {""0"": 0.264, ""166"": 0.174, ""410"": 0.024, ""1765"": 0}, ""stoploss"": -0.219, ""trailing_stop"": true, ""trailing_stop_positive"": 0.02, ""trailing_stop_positive_offset"": 0.04, ""trailing_only_offset_is_reached"": true, ""max_open_trades"": 1}"
